system:index,EVI,month,year,.geo
0,0.07240270680147061,1.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.08164335937500007,2.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.08646172334558823,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.13234584558823526,4.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.38259063419117656,5.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.40935630514705873,6.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.36448531249999994,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.3258563419117646,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2310563143382355,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.1585884742647059,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.08349953584558824,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.07219152573529415,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.07098352941176472,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.07939190716911763,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.09255567095588232,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.1762629963235294,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3785360477941175,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.40292404411764665,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.427698717830883,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.37873329503676484,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.2802554595588237,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.12086316176470599,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.09264892463235296,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.07459621783088238,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.07433589613970591,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.08166861213235299,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.08629801011029413,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.1619528860294118,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.38645499540441225,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.3956846369485295,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.42954136948529376,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.4029856709558827,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.24759250459558824,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.1297685845588235,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.09317500459558817,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.07787477481617645,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.07690447610294115,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.08245390624999996,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.08743216452205882,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.09761081801470595,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.2269974080882352,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.4231264797794117,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.44771041360294084,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.41013815716911745,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.2629136810661762,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.12047440257352945,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.098856640625,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.07904329044117644,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.08114797794117651,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.07522369944852945,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.09182806066176472,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.12778615808823532,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.305693088235294,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.37282461397058825,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.4087591222426471,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.3837975137867645,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.31755927849264703,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.19934811580882345,10.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.10242809742647055,11.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.08132011488970588,12.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.07740559742647062,1.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.08525697610294125,2.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.08591773437500004,3.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.18921641544117654,4.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.3924619255514703,5.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.4307040808823531,6.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.45085624080882325,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.40222119944852963,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.3109101424632353,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.13897390165441195,10.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.09294687500000003,11.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.08688636488970587,12.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.0861454963235294,1.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.0871048161764706,2.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.09304591452205876,3.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.16459849724264705,4.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.33999334099264694,5.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.36861667279411786,6.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.42297642922794154,7.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.4007783042279408,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.27658435661764696,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.11725702205882362,10.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.08168859834558824,11.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.07823503216911765,12.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.06329422334558825,1.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.07801480238970583,2.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.0783502205882353,3.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.0931967509191176,4.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.3506796645220588,5.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.4649839751838235,6.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.3888515073529414,7.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.4016435845588235,8.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.32849412683823515,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.16066125,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.10239838235294117,11.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.08296104779411766,12.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.08248756893382359,1.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.08631736213235287,2.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.09279641084558828,3.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.1475805376838235,4.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.35869669577205915,5.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
