system:index,LAI,month,year,.geo
0,0.33386423873564336,1.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.348144694218121,2.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.3765076404567912,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5077375304036734,4.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.6207723896469362,5.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.490095219397269,6.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.0423153692614773,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.9398939825267494,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.198975818854094,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5517489610942047,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.37524868296194464,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.35974035535486376,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.31719429992474063,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.33575472006806056,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.36753869310559156,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.7415226923202771,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.8319895727670343,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.237307352508097,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.8262540492784924,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.1366316547233404,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.463602303589543,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5082302607898952,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.36287861435598723,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.3146215765190928,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.3251096168319098,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.307926769411996,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.3741312457053103,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5003544822922461,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1.6500327214423602,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2.467812735185367,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2.3482919407087444,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2.495205490658028,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1.2172728313864083,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.5255216343269746,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.34679493472072226,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.3379609633192629,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.31080380223160237,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.30966918621772843,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.3704443571872646,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.39703761875156807,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.7558366872811749,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2.020503255783515,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2.5871944635319526,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2.5211617748110338,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1.5479900854029642,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.5506604277783228,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.34697981087006297,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.31938581852688075,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.30251546088151576,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.2897892739111939,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.3614950427014821,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.47152798228679244,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1.1877523641242094,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2.0501407022021527,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
