system:index,NDVI,month,year,.geo
0,0.19975043198529419,1.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.20650852481617668,2.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.20802811121323528,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.29797640624999994,4.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.6369867876838231,5.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.7155434696691176,6.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6979973437499999,7.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6630590670955883,8.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5834468152573529,9.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.41334806066176477,10.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.24501531250000003,11.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.22506518382352952,12.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.20863654871323542,1.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.21171069393382366,2.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.21527808823529407,3.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3630494852941178,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6240365487132356,5.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6906618060661764,6.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.7449150045955885,7.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.7345774034926478,8.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5975660845588235,9.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.310702711397059,10.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.26729127757352955,11.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.20814294577205883,12.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.2122477941176472,1.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.19285497242647073,2.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.22310049632352927,3.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.3292253538602942,4.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.6243143152573527,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.6868764935661767,6.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.705426741727941,7.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7277041038602937,8.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.5608047656249998,9.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.3292427665441177,10.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.25847639705882375,11.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.2173565900735296,12.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.20991125919117648,1.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.21600937959558825,2.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.20973950827205884,3.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.20831594209558832,4.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.45739698069852935,5.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.6910315900735291,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.7195623575367645,7.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.7335626378676469,8.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.5340566268382354,9.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.322303492647059,10.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.26937250919117645,11.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.2230573207720587,12.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.2212116957720588,1.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.19947189797794124,2.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.21264958639705892,3.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.2819276194852941,4.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.5232028124999999,5.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.644715955882353,6.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.7454473253676469,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.6885481985294118,8.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.646156613051471,9.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.4430491360294122,10.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.291160174632353,11.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.2331540670955881,12.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.21131423253676465,1.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.21963066176470597,2.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.2133782536764705,3.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.3683217830882352,4.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.6230948805147055,5.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.7168213924632355,6.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.752456796875,7.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.7384890992647063,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.6247815165441177,9.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.3541998943014707,10.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.27087888786764713,11.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
